label,type
poi_num,float 
slope,float 
DHSCLUST1,float 
LON,float 
MPI_Easy4_fixed,float 
Living Standards,float 
osm,float 
pr_sum,float 
NIR,float 
TEMP1,float 
GREEN,float 
burnedCount,float 
NIGHTLIGHTS,float 
tmm_sum,float 
SWIR2,float 
famale,float 
AOD047,float 
area,int 
pr,float 
AOD055,float 
EVI,float 
LAT,float 
RED,float 
age_struct_child,float 
MPI3,float 
age_struct_young,float 
conflict_num,float 
tmmx,float
MPI3_fixed,float 
year,float 
road_length,float 
A,float 
male,float 
lat,float 
lon,float 
water,float 
NDVI,float
age_struct_middle,float 
aspect,float 
place_num,float 
education,float 
Individual_num,int 
MPI_Easy4,float
SWIR1,float 
death_num,float 
Number of Households2,float 
health,float 
tmmn,float 
H,float 
elevation,float
age_struct_old,float 
viirs_v2,float 
Households_num,int 
BLUE,float 
building_area,float
country,byte
