,AOD047,AOD055,BLUE,EVI,GREEN,NDVI,NIGHTLIGHTS,NIR,RED,SWIR1,SWIR2,TEMP1,age_struct_child,age_struct_middle,age_struct_old,age_struct_young,aspect,elevation,male,osm,pr,slope,tmmn,tmmx,viirs_v2
AOD047,1.0,0.9712480819270258,-0.13004386231531168,0.12052044004640117,-0.12966573383603414,0.14185687793994967,0.047489117171527234,-0.15567920710646074,-0.18463710167236952,-0.24183717263523272,-0.20935654051487476,-0.2077971081834282,0.14748734559650525,0.18641933602905933,0.20778674017118945,0.167468646742641,0.015168771788495666,-0.38089440020502285,0.17075550549370586,0.02366875701216259,0.3163297663767161,-0.006216593459366822,0.35149119602032197,-0.20627719646311887,0.046834163895550424
AOD055,0.9712480819270258,1.0,0.0014286037587737477,0.07098633522333243,0.027359638348671247,0.08189377503037566,0.03032989551476791,-0.025320356376144264,-0.024476452223282087,-0.08181954928537255,-0.05255260621967324,-0.1074464591910043,0.11981425088277876,0.14223531201373052,0.16294726214681907,0.1331835261730992,0.010828701695414982,-0.286079445310705,0.1339564411566481,0.03072145697194148,0.20443302880312791,-0.026319193771553992,0.23669005680884792,-0.07412295999937475,0.030271035573815618
BLUE,-0.13004386231531168,0.0014286037587737477,1.0,-0.5946630623597342,0.9455974697822894,-0.6780686997753704,0.02669446395450853,0.5150315065023437,0.9264185934592929,0.8042338115596028,0.8626878761611163,0.5195928933651448,0.09382835438760388,0.05930612128551556,0.039564057389313186,0.0698889550911219,-0.042235528093521,0.236980655108753,0.07332634191246061,0.021609889239136197,-0.4676400617261037,-0.21156158502253833,-0.2929870966983443,0.609286988254681,0.021513260797917797
EVI,0.12052044004640117,0.07098633522333243,-0.5946630623597342,1.0,-0.5657057914254069,0.9723595019351866,-0.1592413362684414,0.08902887090923321,-0.5591528453911274,-0.31309267322392903,-0.45612649801684507,-0.3909717711795766,-0.4047711638988504,-0.3887783908767513,-0.38062871069153925,-0.3911168827377798,0.0534130670199729,-0.03752720097898383,-0.39554129900962265,0.04598748147178867,0.19813266410814173,0.2121864927687701,-0.0075170954519739675,-0.35891257927662507,-0.1419611478347897
GREEN,-0.12966573383603414,0.027359638348671247,0.9455974697822894,-0.5657057914254069,1.0,-0.6524908329922062,0.0018953463914230266,0.6227701160093979,0.9817141847906258,0.8731106828264068,0.9171761200865972,0.5539355942563454,0.0472802963517993,0.00502965741271854,-0.013586731623273247,0.018954672909636164,-0.041933407024295544,0.30043558670425013,0.02178940972436442,0.028569843000980182,-0.5366548225956335,-0.208103798642651,-0.3586613610610132,0.6693345326558958,-0.0020114535286210483
NDVI,0.14185687793994967,0.08189377503037566,-0.6780686997753704,0.9723595019351866,-0.6524908329922062,1.0,-0.14345481224036882,-0.0524202820616565,-0.6468484685341568,-0.4258723433979624,-0.5538417551196674,-0.4353656600544928,-0.3768523393735236,-0.3584297495009833,-0.347018299245554,-0.3595903472615945,0.055753716404305875,-0.07149288592759231,-0.36575205527728794,0.03560184081969947,0.30330933197479243,0.2344502919160226,0.04601278993795594,-0.4412496267988686,-0.12725621261240974
NIGHTLIGHTS,0.047489117171527234,0.03032989551476791,0.02669446395450853,-0.1592413362684414,0.0018953463914230266,-0.14345481224036882,1.0,-0.12009001841529317,-0.011453151070691427,-0.06432292864321672,-0.023513461045050862,0.011539754474058694,0.19412931646173823,0.2033131928312638,0.18555510419087481,0.19266093329318829,-0.0016451844961492869,-0.05135019916725956,0.2011434324689949,0.0021951823299971697,0.04463664798066462,-0.01593908304075941,0.09289672571405495,-0.03998026233779505,0.7101524426428796
NIR,-0.15567920710646074,-0.025320356376144264,0.5150315065023437,0.08902887090923321,0.6227701160093979,-0.0524202820616565,-0.12009001841529317,1.0,0.631894628064023,0.7839037382348673,0.6801612057536652,0.3069984529422355,-0.2669968661449019,-0.29813425117739856,-0.31189180501804686,-0.28967233631598277,-0.00020260009867308123,0.3117209153748027,-0.2871065403541436,0.0685784038138282,-0.5017894399953405,-0.10040328109002539,-0.4106558237813019,0.535455137981125,-0.11137053290728277
RED,-0.18463710167236952,-0.024476452223282087,0.9264185934592929,-0.5591528453911274,0.9817141847906258,-0.6468484685341568,-0.011453151070691427,0.631894628064023,1.0,0.913086651886512,0.9514011638520066,0.5891635927029726,0.01800654651097909,-0.02175695261330704,-0.038383443334763206,-0.010268318747929743,-0.03561652502694141,0.3491723880875627,-0.006904420483904499,0.035042493786469744,-0.5909312385583163,-0.19629376402902501,-0.3929353904000744,0.6905238128439459,-0.014817994883077133
SWIR1,-0.24183717263523272,-0.08181954928537255,0.8042338115596028,-0.31309267322392903,0.8731106828264068,-0.4258723433979624,-0.06432292864321672,0.7839037382348673,0.913086651886512,1.0,0.9738849987378269,0.5962426941776398,-0.11488513185621844,-0.14539924106723573,-0.1637816571071612,-0.14169382266628655,-0.011033923748636007,0.39693225769752954,-0.13573482851081448,0.06501720032812545,-0.6669967613313169,-0.15177224962630959,-0.4422152331267372,0.6917206162341403,-0.06258019806478314
