time,seed,r2,rmse,mape
Logs/mpi/Mar28_17-10-13,20,0.701,0.0143,1.826
Logs/mpi/Mar28_23-33-51,10,0.543,0.0207,2.653
Logs/mpi/Mar28_18-39-49,90,0.62,0.0207,1.299
Logs/mpi/Mar29_00-00-27,50,0.66,0.0197,0.952
Logs/mpi/Mar28_23-48-37,30,0.421,0.0237,2.413
Logs/mpi/Mar29_00-20-33,70,0.483,0.029,0.797
Logs/mpi/Mar29_15-25-00,80,0.491,0.0242,1.856
Logs/mpi/Mar28_18-18-44,70,0.483,0.029,0.797
Logs/mpi/Mar28_17-40-29,40,0.146,0.043,1.97
Logs/mpi/Mar29_00-41-12,90,0.62,0.0207,1.299
Logs/mpi/Mar29_15-35-42,100,0.594,0.0207,1.615
Logs/mpi/Mar28_18-04-19,60,0.652,0.016,0.592
